source              ,target              ,articles
7621232311076131365 ,-319213317550603216 ,2369
7871747628767178370 ,-344530197605253002 ,2671
8231688985140977271 ,-6411644534435696354,2136
-8800856954420026473,-5123806391895283158,1073
-8460219923746299350,7871747628767178370 ,2642
-8087340096537787169,8366353836417263554 ,1116
-7394264953874666219,-2209714333319565875,1626
-7360278664246742593,-5123806391895283158,1166
-6547665733824167393,-319213317550603216 ,2044
-5697900219464244813,-4119471098201915446,1042
-5123806391895283158,-7185019324071561359,1626
-4584259589746295249,-441503973431915681 ,1018
-4584259589746295249,2784257201517212856 ,1230
-4389296294014978424,4038455739488905858 ,1017
-4177940754133278792,-2030977886066610622,1374
-4119471098201915446,-1575684124537842350,1016
-3136933928667018684,6381873041093583154 ,1201
-3034747171331345424,6672343591078621330 ,1275
-2597550477887731461,-8165127369680017339,1514
-2376203089953264870,6382886405921188060 ,1749
-2234739453058822859,5706353703463528776 ,2269
-2158790193493657764,8777361007022942590 ,1115
-1808812747603547780,-232442968513540034 ,2043
-1808812747603547780,5512656596086630433 ,1024
-1808812747603547780,8670665194432039431 ,3582
-1652469311467641984,4598025016433322182 ,4610
-1575684124537842350,-2209714333319565875,1141
-703758798842958219 ,1932551752666018672 ,1348
-698633528624703244 ,-2255399436524251984,1245
-441503973431915681 ,-4389296294014978424,1014
-441503973431915681 ,2784257201517212856 ,1609
-319213317550603216 ,6169053225138654698 ,3995
-319213317550603216 ,6382886405921188060 ,31357
-195293542193935170 ,-7170442259137058980,1377
1239823298764786415 ,6891633248965691680 ,1560
1520995045087008572 ,-3115061109124204948,2067
1832510329768604584 ,-319213317550603216 ,15099
3554131571515796329 ,-319213317550603216 ,1469
6008067634782732883 ,-2030977886066610622,1253
6306074510567183512 ,5679758924589637024 ,1341
6382886405921188060 ,1829182820780899682 ,3132
6382886405921188060 ,4439239363250194558 ,1680
6611336480032655854 ,9014183989093063301 ,1066
7621232311076131365 ,7961587406411262285 ,1533
8632782506516917507 ,-2234739453058822859,2288
8735549545327376262 ,1215002096928707874 ,1362
9164093149223641419 ,-5123806391895283158,2210
-7952294823190575687,4018041505326134685 ,1533
-6921004375998832904,9086266514952383251 ,1231
-6037475433742513966,-2049965148602611775,1028
-5044865441892422651,-2030977886066610622,4337
-4862681362924802362,-2030977886066610622,1019
-4678795136086809460,-2246787533204096032,1158
-4389296294014978424,-2209714333319565875,1057
-4320916854537293366,-8659075139516535539,1116
-3538411741119108235,-2209714333319565875,1049
-3463722585218783619,1650545901460872628 ,1197
-2395062809228361683,-2030977886066610622,1460
-2395062809228361683,6132106858894494217 ,1221
-2209714333319565875,-319213317550603216 ,47237
-2209714333319565875,1673031328778730547 ,1417
-1735531465603307422,8670665194432039431 ,1742
-1258665395754752430,-319213317550603216 ,2192
-977966794734927473 ,5925519344790501494 ,3156
-645147010875212004 ,-2209714333319565875,1228
-319213317550603216 ,-2158790193493657764,3242
-319213317550603216 ,8670665194432039431 ,2755
475327060407514070  ,-3478596020125486938,1297
633087338846443428  ,-5825783656841140364,1829
972166625298665897  ,-319213317550603216 ,1473
1554551611396352462 ,5286062173299316032 ,2499
1943401871528076639 ,-2209714333319565875,4767
1943401871528076639 ,-1898434984717323372,3195
2784257201517212856 ,4418623468891380562 ,1574
3111672688651582693 ,1297010197430591288 ,1273
3815815919996108488 ,5938483825255926276 ,1878
3815815919996108488 ,7621232311076131365 ,1611
4879160220879605310 ,476135616677260618  ,1123
5706353703463528776 ,-5650405956671312793,1337
5706353703463528776 ,8132684862963203237 ,2269
6915440518388851069 ,-6817692648362739035,2328
7519218881764246375 ,-2209714333319565875,1693
7637037118574180081 ,-8778605200936573775,2065
7637037118574180081 ,-8499908249375507275,1770
7838348151486042105 ,4420057763900089647 ,1084
9036656099340829831 ,-1669859730989940941,1012
-8987850060965433138,7871747628767178370 ,1293
-8526922800236202304,5856445486635177175 ,1032
-7952294823190575687,-2396370213945007017,1303
-7695077803468780495,-319213317550603216 ,1640
-7637287279631681353,-2030977886066610622,1367
-7512783134188039914,6132887020992818052 ,1194
-7149142999481014549,2848041216899638147 ,1151
-6886373228852892218,-3463722585218783619,1414
-6817692648362739035,-2030977886066610622,2313
-6150731274223034299,-5123806391895283158,1466
-6032953878285540342,-232442968513540034 ,2708
-4729589068185710698,-6212011444670596833,2807
-4678795136086809460,-554187375508143523 ,1470
-4110069703337102705,-319213317550603216 ,1534
-3800629854907606350,-319213317550603216 ,1827
-2590648221219211668,-2030977886066610622,1115
-2209714333319565875,-3929287170143851930,1929
-2209714333319565875,4598025016433322182 ,8701
-2209714333319565875,7538947819750950667 ,1679
-2180389149550549525,1520995045087008572 ,1721
-2030977886066610622,-441503973431915681 ,8297
-2030977886066610622,7871747628767178370 ,9344
-2030977886066610622,8086321949898543665 ,3438
-1843037069962836581,-7444383465975309377,1122
-1842418496910161609,-5028022412942399129,1206
-1842418496910161609,8324416576011001427 ,1026
-1704220627120820671,-5123806391895283158,1819
-1575684124537842350,-2030977886066610622,1730
-977966794734927473 ,-232442968513540034 ,6431
-319213317550603216 ,-554187375508143523 ,4847
-319213317550603216 ,1828307502429815362 ,1006
-82939634550614629  ,5745090389146023302 ,3204
-61747791082459030  ,6382886405921188060 ,1149
633087338846443428  ,-4894173984603446875,1597
972166625298665897  ,-3861692456531874851,2663
1832510329768604584 ,-3034908872723999323,1107
